,field,mses
0,670,0.12710045278072357
1,699,0.08285626769065857
2,703,0.09781140089035034
3,714,0.10507827997207642
4,716,0.09261147677898407
5,724,0.0927327498793602
6,725,0.05935284495353699
7,726,0.09335234016180038
8,727,0.13832733035087585
9,731,0.10988608747720718
10,732,0.07199293375015259
11,733,0.10012222081422806
12,734,0.10792799293994904
13,735,0.09294717758893967
14,736,0.10016459226608276
15,737,0.09191074222326279
16,738,0.057384658604860306
17,739,0.09629163146018982
18,740,0.07512093335390091
19,741,0.07880794256925583
20,742,0.08005297183990479
21,743,0.0813138410449028
22,744,0.06912074983119965
23,746,0.07604537904262543
24,747,0.08551262319087982
25,748,0.07555907964706421
26,749,0.061836253851652145
27,750,0.07076458632946014
28,751,0.12553180754184723
29,752,0.0844176709651947
30,753,0.08482819050550461
31,754,0.12094640731811523
32,755,0.0679255872964859
33,756,0.07918339967727661
34,757,0.10217567533254623
35,758,0.0812000185251236
36,759,0.10797425359487534
37,760,0.08236316591501236
38,761,0.09489306807518005
39,762,0.07390453666448593
40,763,0.05650820955634117
41,764,0.07962661981582642
42,765,0.08633838593959808
43,766,0.09839845448732376
44,767,0.08890902251005173
45,768,0.09078849852085114
46,769,0.09721332788467407
47,770,0.08137773722410202
48,771,0.07069636136293411
49,772,0.11498890072107315
50,773,0.07961034774780273
51,774,0.07654596120119095
52,775,0.10596349090337753
53,776,0.07928748428821564
54,777,0.08013996481895447
55,778,0.08717137575149536
56,779,0.08348019421100616
57,780,0.08345339447259903
58,781,0.11356387287378311
59,782,0.08414781838655472
60,783,0.07959295064210892
61,784,0.08673574775457382
62,785,0.07219389826059341
63,786,0.06516870111227036
64,787,0.10033445805311203
65,788,0.07342318445444107
66,789,0.08995402604341507
67,790,0.08877600729465485
68,791,0.07945495843887329
69,792,0.11776058375835419
70,793,0.0913974717259407
71,794,0.07356367260217667
72,795,0.08807690441608429
73,796,0.08244369179010391
74,797,0.10663985460996628
75,798,0.0668836236000061
76,799,0.06785202026367188
77,800,0.07872949540615082
78,801,0.08183827996253967
79,802,0.0810125395655632
80,803,0.09612137824296951
81,804,0.07525601238012314
82,805,0.07049944996833801
83,806,0.06862068176269531
84,807,0.08791395276784897
85,808,0.08914060890674591
86,809,0.08006082475185394
87,810,0.08532137423753738
88,811,0.09088405966758728
89,812,0.08617059141397476
90,813,0.1114577054977417
91,814,0.0570128932595253
92,815,0.08815591037273407
93,816,0.10769695043563843
94,817,0.08307424187660217
95,818,0.07717863470315933
96,819,0.07822160422801971
97,820,0.07363547384738922
98,821,0.10689251124858856
99,822,0.08342177420854568
100,823,0.07578259706497192
101,824,0.06813938915729523
102,825,0.068470299243927
103,826,0.07148388773202896
104,827,0.07431171834468842
105,828,0.07197096198797226
106,829,0.09894704818725586
