,field,mses
0,670,0.11299211531877518
1,699,0.07542866468429565
2,703,0.08724528551101685
3,714,0.10180002450942993
4,716,0.08841170370578766
5,724,0.0843581110239029
6,725,0.05540560558438301
7,726,0.0877561941742897
8,727,0.12942548096179962
9,731,0.10156714171171188
10,732,0.06830890476703644
11,733,0.09443225711584091
12,734,0.10067830234766006
13,735,0.08328849077224731
14,736,0.09742225706577301
15,737,0.08376192301511765
16,738,0.05141996219754219
17,739,0.08746583759784698
18,740,0.06865029036998749
19,741,0.07535471022129059
20,742,0.07599161565303802
21,743,0.07707008719444275
22,744,0.06454374641180038
23,746,0.07334794104099274
24,747,0.07874703407287598
25,748,0.06824630498886108
26,749,0.058853164315223694
27,750,0.06520504504442215
28,751,0.11624810844659805
29,752,0.08075759559869766
30,753,0.0805322676897049
31,754,0.11120199412107468
32,755,0.06610085070133209
33,756,0.07328862696886063
34,757,0.0995061844587326
35,758,0.07557879388332367
36,759,0.09954970329999924
37,760,0.07660520076751709
38,761,0.0921943336725235
39,762,0.07036779075860977
40,763,0.051476672291755676
41,764,0.07316778600215912
42,765,0.08340083807706833
43,766,0.09297686070203781
44,767,0.08358217030763626
45,768,0.08739086985588074
46,769,0.09216238558292389
47,770,0.07373659312725067
48,771,0.06501477211713791
49,772,0.1064610630273819
50,773,0.07097013294696808
51,774,0.07111935317516327
52,775,0.09397482126951218
53,776,0.07392172515392303
54,777,0.07559683918952942
55,778,0.08003291487693787
56,779,0.07850199192762375
57,780,0.07889186590909958
58,781,0.10955338180065155
59,782,0.07371930032968521
60,783,0.07355054467916489
61,784,0.08243279159069061
62,785,0.061218101531267166
63,786,0.05896056815981865
64,787,0.09264948219060898
65,788,0.0666145458817482
66,789,0.08687857538461685
67,790,0.08469513803720474
68,791,0.07346661388874054
69,792,0.1098189651966095
70,793,0.08438913524150848
71,794,0.06854664534330368
72,795,0.08489464968442917
73,796,0.08003625273704529
74,797,0.09800359606742859
75,798,0.0644858181476593
76,799,0.06457392126321793
77,800,0.07737798988819122
78,801,0.07821497321128845
79,802,0.07891695946455002
80,803,0.09222140908241272
81,804,0.06893988698720932
82,805,0.0680127739906311
83,806,0.06547859311103821
84,807,0.08331631124019623
85,808,0.08690492808818817
86,809,0.07687938213348389
87,810,0.08240065723657608
88,811,0.08810542523860931
89,812,0.08344873785972595
90,813,0.10542549937963486
91,814,0.05519293621182442
92,815,0.0807996615767479
93,816,0.10354748368263245
94,817,0.07873494178056717
95,818,0.07473108917474747
96,819,0.0759977251291275
97,820,0.06839389353990555
98,821,0.09712667763233185
99,822,0.07899509370326996
100,823,0.07233419269323349
101,824,0.06528716534376144
102,825,0.06622199714183807
103,826,0.06919700652360916
104,827,0.07139124721288681
105,828,0.06672678887844086
106,829,0.09230418503284454
