,thresholds,expected_precision,expected_recall,actual_precision,actual_recall,expected_tp,expected_fp,expected_tn,expected_fn,expected_n_selected,actual_tp,actual_fp,actual_n_obj
0,0.01,0.13333522970710437,0.9393177349521235,0.09941313366386725,0.7540291634689179,5271.00830078125,34260.98828125,135127.46875,340.520263671875,39532.0,3930,35602,5212
1,0.02,0.2135773802832734,0.8993687421066116,0.16369022429115532,0.7421335379892555,5046.83349609375,18583.16796875,150805.3125,564.6951904296875,23630.0,3868,19762,5212
2,0.03,0.2829368436867409,0.871772763002333,0.22122614227877385,0.7338833461243285,4891.97802734375,12398.0224609375,156990.453125,719.5508422851562,17290.0,3825,13465,5212
3,0.04,0.34120800885844343,0.851571676573641,0.27161727954302034,0.7298541826554106,4778.6181640625,9226.380859375,160162.09375,832.90966796875,14005.0,3804,10201,5212
4,0.05,0.38789913965650824,0.8364173579870836,0.3124793388429752,0.72544128933231,4693.57958984375,7406.419921875,161982.046875,917.9486083984375,12100.0,3781,8319,5212
5,0.060000000000000005,0.4294199436570632,0.8234046286460095,0.3490706319702602,0.7206446661550269,4620.55859375,6139.44140625,163249.03125,990.969970703125,10760.0,3756,7004,5212
6,0.06999999999999999,0.4635649583290985,0.8127938352356033,0.3801199308872853,0.7175748273215656,4561.015625,5277.984375,164110.5,1050.5126953125,9839.0,3740,6099,5212
7,0.08,0.4932047615059615,0.8035026595814106,0.4076788448917086,0.7150805832693784,4508.8779296875,4633.1220703125,164755.34375,1102.650390625,9142.0,3727,5415,5212
8,0.09,0.5204082876669875,0.7948671340476019,0.43285497608213747,0.7118188795088258,4460.41943359375,4110.58056640625,165277.890625,1151.10888671875,8571.0,3710,4861,5212
9,0.09999999999999999,0.5473325100212443,0.7862469757758827,0.4588760699665054,0.7097083653108212,4412.04736328125,3648.95263671875,165739.5,1199.481201171875,8061.0,3699,4362,5212
10,0.11,0.5686698050430754,0.7793011914102179,0.4801040312093628,0.7083653108211819,4373.07080078125,3316.928955078125,166071.546875,1238.4576416015625,7690.0,3692,3998,5212
11,0.12,0.5876678189777808,0.7729758864116428,0.49844194553583526,0.7058710667689946,4337.576171875,3043.423828125,166345.03125,1273.9522705078125,7381.0,3679,3702,5212
12,0.13,0.6046826576546916,0.767123572552512,0.5153813737884534,0.7039524174980814,4304.73583984375,2814.26416015625,166574.21875,1306.792724609375,7119.0,3669,3450,5212
13,0.14,0.6210663511684111,0.7613461406267267,0.5317633376944323,0.7018419033000768,4272.3154296875,2606.684326171875,166781.78125,1339.212890625,6879.0,3658,3221,5212
14,0.15000000000000002,0.6352656016092815,0.7562242925450671,0.5470059880239521,0.7010744435917114,4243.57421875,2436.42578125,166952.03125,1367.954345703125,6680.0,3654,3026,5212
15,0.16,0.6509364976232802,0.7504030594799933,0.5637656515690215,0.6997313891020721,4210.908203125,2258.091796875,167130.375,1400.620361328125,6469.0,3647,2822,5212
16,0.17,0.665156995823389,0.7449862834473735,0.5789976133651551,0.6981964696853415,4180.51171875,2104.48828125,167283.984375,1431.0167236328125,6285.0,3639,2646,5212
17,0.18000000000000002,0.6771517006672779,0.7403197962690247,0.5916870415647921,0.6964696853415195,4154.32568359375,1980.67431640625,167407.78125,1457.202880859375,6135.0,3630,2505,5212
18,0.19,0.6904090086991547,0.7350053484211461,0.6067961165048543,0.695510360706063,4124.50341796875,1849.4967041015625,167538.96875,1487.0250244140625,5974.0,3625,2349,5212
19,0.2,0.7009979837632502,0.7306631783354584,0.6189092152504702,0.6945510360706063,4100.13720703125,1748.86279296875,167639.59375,1511.3912353515625,5849.0,3620,2229,5212
20,0.21000000000000002,0.7119165367541063,0.7260585741794242,0.6314869823519134,0.6933998465080583,4074.29833984375,1648.70166015625,167739.765625,1537.2301025390625,5723.0,3614,2109,5212
21,0.22,0.7211011189713472,0.7220612246664875,0.6428190069407368,0.6930161166538756,4051.8671875,1567.1329345703125,167821.34375,1559.661376953125,5619.0,3612,2007,5212
22,0.23,0.731186231727801,0.7175661153752781,0.6557109133829672,0.6928242517267843,4026.642578125,1480.357177734375,167908.109375,1584.8857421875,5507.0,3611,1896,5212
23,0.24000000000000002,0.7412088117850362,0.7130045084971512,0.6676546869210819,0.6914811972371451,4001.045166015625,1396.955078125,167991.515625,1610.4833984375,5398.0,3604,1794,5212
24,0.25,0.7500942402148548,0.7088531755120733,0.6792381670752404,0.6910974673829624,3977.749755859375,1325.2501220703125,168063.21875,1633.7786865234375,5303.0,3602,1701,5212
25,0.26,0.7570068826183078,0.7055378851982358,0.6879541108986615,0.6903300076745971,3959.14599609375,1270.8541259765625,168117.625,1652.382568359375,5230.0,3598,1632,5212
26,0.27,0.7645532648393516,0.7018076842973892,0.6977285963890507,0.6895625479662317,3938.2138671875,1212.7861328125,168175.6875,1673.314697265625,5151.0,3594,1557,5212
27,0.28,0.7709073197056293,0.6985732605568967,0.7061946902654868,0.6889869531849578,3920.063720703125,1164.93603515625,168223.53125,1691.4647216796875,5085.0,3591,1494,5212
28,0.29000000000000004,0.777889693827299,0.6949195732261739,0.7145421903052065,0.6872601688411358,3899.56103515625,1113.43896484375,168275.03125,1711.967529296875,5013.0,3582,1431,5212
29,0.3,0.7854274459171141,0.6908758895517201,0.725486223662885,0.6870683039140445,3876.869873046875,1059.1302490234375,168329.34375,1734.6588134765625,4936.0,3581,1355,5212
30,0.31,0.7912377894645787,0.6876676867602183,0.7334426901783884,0.6863008442056792,3858.86669921875,1018.1331176757812,168370.34375,1752.66162109375,4877.0,3577,1300,5212
