CatID,MatchID,MemID,SourceID,ImageID,MatchRA,MatchDec,SourceRA,SourceDec,WaveLength,Filter,TargetName,FluxAper2,MagAper2,MagAuto
330971847,105755457,2,4001444529780,33543,323.34311272998826,-0.8078998412493671,323.34311272998826,-0.8078998412493671,8047.6714,F814W,NGC7089,21.00659942626953,22.64940071105957,22.066499710083008
387645511,32764845,3,6000234549762,1030041,323.3430516746612,-0.8077889112790493,323.3430516361206,-0.8077888720793597,4325.0,F438W,NGC-7089-M-2,51.70280075073242,20.572799682617188,20.527000427246094
330790895,32764845,1,4001444529965,33543,323.3430516746612,-0.8077889112790493,323.3430517132018,-0.8077889504787391,5919.2002,F606W,NGC7089,344.6910095214844,20.167400360107422,20.109500885009766
330972017,32764845,2,4001444529965,33543,323.3430516746612,-0.8077889112790493,323.3430517132018,-0.8077889504787391,8047.6714,F814W,NGC7089,232.29600524902344,20.040199279785156,19.94540023803711
330791696,38448905,1,4001444530887,33543,323.3431201631609,-0.8074582401146359,323.3431201631609,-0.8074582401146359,5919.2002,F606W,NGC7089,37.89469909667969,22.56450080871582,22.516300201416016
330972838,38448905,2,4001444530887,33543,323.3431201631609,-0.8074582401146359,323.3431201631609,-0.8074582401146359,8047.6714,F814W,NGC7089,34.67610168457031,22.105199813842773,22.03499984741211
330792128,66421564,1,4001444531358,33543,323.3431298339698,-0.8072653386470267,323.3431298339698,-0.8072653386470267,5919.2002,F606W,NGC7089,72.05699920654297,21.86680030822754,21.795499801635742
330973282,66421564,2,4001444531358,33543,323.3431298339698,-0.8072653386470267,323.3431298339698,-0.8072653386470267,8047.6714,F814W,NGC7089,60.66350173950195,21.497900009155273,21.39459991455078
330791881,39540551,1,4001444531086,33543,323.3430646451793,-0.8073394485118525,323.3430646451793,-0.8073394485118525,5919.2002,F606W,NGC7089,28.276100158691406,22.882400512695312,22.396099090576172
330973026,39540551,2,4001444531086,33543,323.3430646451793,-0.8073394485118525,323.3430646451793,-0.8073394485118525,8047.6714,F814W,NGC7089,28.787500381469727,22.307300567626953,21.77739906311035
330972448,30515276,2,4001444530441,33543,323.34340948583326,-0.8076078963432225,323.34340948583326,-0.8076078963432225,8047.6714,F814W,NGC7089,8.988030433654785,23.57110023498535,23.5398006439209
330791197,40768708,1,4001444530314,33543,323.3435016982482,-0.8076898823932563,323.3435016982482,-0.8076898823932563,5919.2002,F606W,NGC7089,10.503199577331543,23.957700729370117,23.93630027770996
330972330,40768708,2,4001444530314,33543,323.3435016982482,-0.8076898823932563,323.3435016982482,-0.8076898823932563,8047.6714,F814W,NGC7089,11.330599784851074,23.319599151611328,23.27739906311035
330791088,27458709,1,4001444530186,33543,323.3432863020785,-0.8077153149835105,323.3432863020785,-0.8077153149835105,5919.2002,F606W,NGC7089,22.704599380493164,23.12070083618164,23.09269905090332
330972214,27458709,2,4001444530186,33543,323.3432863020785,-0.8077153149835105,323.3432863020785,-0.8077153149835105,8047.6714,F814W,NGC7089,21.805700302124023,22.608800888061523,22.5492000579834
330791934,100549539,1,4001444531142,33543,323.3435733465125,-0.8073479715449875,323.3435733465125,-0.8073479715449875,5919.2002,F606W,NGC7089,38.799598693847656,22.53890037536621,22.48900032043457
330973079,100549539,2,4001444531142,33543,323.3435733465125,-0.8073479715449875,323.3435733465125,-0.8073479715449875,8047.6714,F814W,NGC7089,32.31290054321289,22.181800842285156,22.124000549316406
330792120,11101163,1,4001444531346,33543,323.34352713416104,-0.8072663785351037,323.34352713416104,-0.8072663785351037,5919.2002,F606W,NGC7089,15.36870002746582,23.54439926147461,23.457500457763672
330973271,11101163,2,4001444531346,33543,323.34352713416104,-0.8072663785351037,323.34352713416104,-0.8072663785351037,8047.6714,F814W,NGC7089,15.187999725341797,23.00149917602539,22.910499572753906
330972953,12874778,2,4001444531009,33543,323.3432398494275,-0.807367422003902,323.3432398494275,-0.807367422003902,8047.6714,F814W,NGC7089,8.877570152282715,23.58449935913086,23.55389976501465
397096173,90295463,3,6000234549806,1030041,323.34277677499625,-0.8077968785271942,323.3427771358696,-0.8077985649224688,4325.0,F438W,NGC-7089-M-2,11.597200393676758,22.19569969177246,22.12459945678711
330790886,90295463,1,4001444529954,33543,323.34277677499625,-0.8077968785271942,323.34277641412285,-0.8077951921319201,5919.2002,F606W,NGC7089,88.78050231933594,21.640199661254883,21.559799194335938
330972007,90295463,2,4001444529954,33543,323.34277677499625,-0.8077968785271942,323.34277641412285,-0.8077951921319201,8047.6714,F814W,NGC7089,70.16230010986328,21.34000015258789,21.215200424194336
330792217,17421442,1,4001444531456,33543,323.34283682711134,-0.8072201829782413,323.34283682711134,-0.8072201829782413,5919.2002,F606W,NGC7089,4.4840898513793945,24.881799697875977,21.742900848388672
330973372,17421442,2,4001444531456,33543,323.34283682711134,-0.8072201829782413,323.34283682711134,-0.8072201829782413,8047.6714,F814W,NGC7089,1.4087599515914917,25.583200454711914,21.63789939880371
330792190,36279959,1,4001444531427,33543,323.342672339495,-0.8073021078672584,323.342672339495,-0.8073021078672584,5919.2002,F606W,NGC7089,10.919400215148926,23.91550064086914,23.359600067138672
330973344,36279959,2,4001444531427,33543,323.342672339495,-0.8073021078672584,323.342672339495,-0.8073021078672584,8047.6714,F814W,NGC7089,10.13379955291748,23.440799713134766,22.970399856567383
330789398,101771191,1,4001444528312,33543,323.3423890253581,-0.8072088507308456,323.3423890253581,-0.8072088507308456,5919.2002,F606W,NGC7089,53.693599700927734,22.186199188232422,15.72089958190918
