,thresholds,expected_precision,expected_recall,actual_precision,actual_recall,expected_tp,expected_fp,expected_tn,expected_fn,expected_n_selected,actual_tp,actual_fp,actual_n_obj
0,0.01,0.0708231243329311,0.8793879157564293,0.017898535841084477,0.8367626886145405,2413.722900390625,31667.279296875,145587.953125,331.05316162109375,34081.0,610,33471,729
1,0.02,0.11185233433044968,0.8060954044353259,0.03068601182953339,0.8326474622770919,2212.551025390625,17568.44921875,159686.765625,532.224609375,19781.0,607,19174,729
2,0.03,0.1490283977057817,0.7536185850566758,0.043371757925072044,0.8257887517146777,2068.51416015625,11811.486328125,165443.75,676.2617797851562,13880.0,602,13278,729
3,0.04,0.18263800463464494,0.7140432182908564,0.05591277606933184,0.823045267489712,1959.888427734375,8771.111328125,168484.109375,784.88720703125,10731.0,600,10131,729
4,0.05,0.21327621261885105,0.6823842480404613,0.06809382828512867,0.8203017832647462,1872.99169921875,6909.0087890625,170346.21875,871.7839965820312,8782.0,598,8184,729
5,0.060000000000000005,0.24275278198324612,0.6549111875930139,0.08062120189061445,0.8189300411522634,1797.5843505859375,5607.41552734375,171647.8125,947.19140625,7405.0,597,6808,729
6,0.06999999999999999,0.26900237322998993,0.6324276785557437,0.09236014256934759,0.8175582990397805,1735.872314453125,4717.1279296875,172538.09375,1008.9036865234375,6453.0,596,5857,729
7,0.08,0.2951923575654568,0.6115121303769359,0.10464298276468519,0.8161865569272977,1678.4637451171875,4007.5361328125,173247.6875,1066.3121337890625,5686.0,595,5091,729
8,0.09,0.31885443926090784,0.5937333988045382,0.11582860496967326,0.8120713305898491,1629.6650390625,3481.33544921875,173773.890625,1115.1107177734375,5111.0,592,4519,729
9,0.09999999999999999,0.3401274301092545,0.5784497218704353,0.1268209083119109,0.8120713305898491,1587.71484375,3080.285400390625,174174.9375,1157.06103515625,4668.0,592,4076,729
10,0.11,0.36295712534885427,0.5626625402197819,0.13842538190364279,0.8079561042524005,1544.382568359375,2710.61767578125,174544.609375,1200.393310546875,4255.0,589,3666,729
11,0.12,0.3841670133629624,0.5486549087415399,0.14974489795918366,0.8052126200274349,1505.9346923828125,2414.065185546875,174841.15625,1238.841064453125,3920.0,587,3333,729
12,0.13,0.40358714675589524,0.5362486609527163,0.16095420893885384,0.8052126200274349,1471.88232421875,2175.11767578125,175080.109375,1272.8934326171875,3647.0,587,3060,729
13,0.14,0.4222697417407441,0.524611096461971,0.1718475073313783,0.803840877914952,1439.9398193359375,1970.0601806640625,175285.15625,1304.8359375,3410.0,586,2824,729
14,0.15000000000000002,0.44186141704277865,0.5127299050846906,0.1836734693877551,0.8024691358024691,1407.32861328125,1777.67138671875,175477.5625,1337.4471435546875,3185.0,585,2600,729
15,0.16,0.45925493777056275,0.5024609071814514,0.19480519480519481,0.8024691358024691,1379.142578125,1623.857421875,175631.375,1365.63330078125,3003.0,585,2418,729
16,0.17,0.47626530028178937,0.49261480983738504,0.2060584712927087,0.8024691358024691,1352.1171875,1486.8828125,175768.328125,1392.6585693359375,2839.0,585,2254,729
17,0.18000000000000002,0.49166631716262493,0.4838248298747923,0.2165864494631618,0.8024691358024691,1327.99072265625,1373.0093994140625,175882.21875,1416.78515625,2701.0,585,2116,729
18,0.19,0.5075775336625049,0.4748872425223608,0.22780373831775702,0.8024691358024691,1303.4591064453125,1264.541015625,175990.6875,1441.31689453125,2568.0,585,1983,729
19,0.2,0.5215681555602878,0.46707441333751804,0.23759153783563874,0.8010973936899863,1282.0145263671875,1175.9853515625,176079.234375,1462.76123046875,2458.0,584,1874,729
