,thresholds,expected_precision,expected_recall,actual_precision,actual_recall,expected_tp,expected_fp,expected_tn,expected_fn,expected_n_selected,actual_tp,actual_fp,actual_n_obj
0,0.01,0.17405967337016456,0.8512038736183597,0.17203936206311504,0.6851351351351351,512.953857421875,2434.04638671875,176963.328125,89.66776275634766,2947.0,507,2440,740
1,0.02,0.2900435981728167,0.8225467669115666,0.29022820362785257,0.6702702702702703,495.68450927734375,1213.3155517578125,178184.078125,106.93716430664062,1709.0,496,1213,740
2,0.03,0.37092939769948713,0.8063393361069606,0.37251908396946565,0.6594594594594595,485.9175109863281,824.0824584960938,178573.296875,116.7041015625,1310.0,488,822,740
3,0.04,0.4297959400399383,0.7952294322502519,0.431390134529148,0.65,479.22247314453125,635.777587890625,178761.59375,123.39917755126953,1115.0,481,634,740
4,0.05,0.47585520303871737,0.7864831734467511,0.4789156626506024,0.6445945945945946,473.9517822265625,522.0482177734375,178875.328125,128.66986083984375,996.0,477,519,740
5,0.060000000000000005,0.5066882824075634,0.7802685870815261,0.5086206896551724,0.6378378378378379,470.20672607421875,457.7932434082031,178939.59375,132.41490173339844,928.0,472,456,740
6,0.06999999999999999,0.536671979792236,0.7738984219976126,0.5397008055235903,0.6337837837837837,466.3679504394531,402.6320495605469,178994.734375,136.2537078857422,869.0,469,400,740
7,0.08,0.5583743175828313,0.7690575017690926,0.563855421686747,0.6324324324324324,463.45068359375,366.54931640625,179030.828125,139.1709442138672,830.0,468,362,740
8,0.09,0.5811001556088226,0.7637152241999248,0.5871212121212122,0.6283783783783784,460.2313232421875,331.7686767578125,179065.625,142.39031982421875,792.0,465,327,740
9,0.09999999999999999,0.6069600125576587,0.7574137106147949,0.6143617021276596,0.6243243243243243,456.4339294433594,295.56610107421875,179101.796875,146.18775939941406,752.0,462,290,740
10,0.11,0.6292866600884331,0.7518588353890222,0.6388888888888888,0.6216216216216216,453.0863952636719,266.91357421875,179130.46875,149.5352325439453,720.0,460,260,740
11,0.12,0.6454957890988763,0.7476599388272657,0.6504297994269341,0.6135135135135135,450.5560607910156,247.44395446777344,179149.921875,152.06558227539062,698.0,454,244,740
