,thresholds,expected_precision,expected_recall,actual_precision,actual_recall,expected_tp,expected_fp,expected_tn,expected_fn,expected_n_selected,actual_tp,actual_fp,actual_n_obj
0,0.01,0.10925241113834369,0.8356593067490486,0.0947136563876652,0.8257887517146777,694.4083251953125,5661.59130859375,173507.4375,136.56228637695312,6356.0,602,5754,729
1,0.02,0.18525705723092487,0.788540805613259,0.16793893129770993,0.8148148148148148,655.2542114257812,2881.74560546875,176287.28125,175.71636962890625,3537.0,594,2943,729
2,0.03,0.2461642044554998,0.7601441266735248,0.23070927513639908,0.8120713305898491,631.6573486328125,1934.3426513671875,177234.671875,199.3131561279297,2566.0,592,1974,729
3,0.04,0.29470390901076604,0.7401550604987439,0.28126497364638237,0.8052126200274349,615.0470581054688,1471.9530029296875,177697.09375,215.92349243164062,2087.0,587,1500,729
4,0.05,0.34032172616412887,0.7228508508305582,0.3314447592067989,0.8024691358024691,600.6678466796875,1164.3321533203125,178004.703125,230.3028106689453,1765.0,585,1180,729
5,0.060000000000000005,0.37848492317959215,0.7091719476310102,0.37572254335260113,0.8024691358024691,589.301025390625,967.698974609375,178201.328125,241.6695556640625,1557.0,585,972,729
6,0.06999999999999999,0.41197364010027987,0.6975540581010244,0.4143567874911159,0.7997256515775034,579.6469116210938,827.3531494140625,178341.6875,251.3236846923828,1407.0,583,824,729
7,0.08,0.4389014664925892,0.688217613084755,0.4466615502686109,0.7983539094650206,571.8886108398438,731.1114501953125,178437.90625,259.0820007324219,1303.0,582,721,729
8,0.09,0.4670805595290493,0.67844304900852,0.4788732394366197,0.7928669410150891,563.7662353515625,643.2337646484375,178525.78125,267.2043762207031,1207.0,578,629,729
9,0.09999999999999999,0.4921253855306421,0.6698116921644979,0.51105216622458,0.7928669410150891,556.5938110351562,574.4061889648438,178594.609375,274.37677001953125,1131.0,578,553,729
10,0.11,0.5141954653731017,0.662104243511131,0.5364485981308411,0.7873799725651578,550.1891479492188,519.8109130859375,178649.21875,280.78143310546875,1070.0,574,496,729
11,0.12,0.532924943240888,0.6554375382378423,0.5567514677103719,0.7805212620027435,544.6492919921875,477.3507080078125,178691.671875,286.3212585449219,1022.0,569,453,729
12,0.13,0.5548127164545748,0.6476382524612141,0.5814432989690722,0.7736625514403292,538.1683349609375,431.83160400390625,178737.203125,292.80224609375,970.0,564,406,729
13,0.14,0.5710000277076084,0.6417965184784418,0.5974304068522484,0.7654320987654321,533.3140258789062,400.68597412109375,178768.34375,297.65655517578125,934.0,558,376,729
14,0.15000000000000002,0.589599609375,0.6350305074584703,0.6122905027932961,0.7517146776406035,527.691650390625,367.3083190917969,178801.71875,303.2789001464844,895.0,548,347,729
15,0.16,0.6020961717627514,0.6303757324432413,0.6229885057471264,0.7434842249657064,523.8236694335938,346.1763000488281,178822.84375,307.1468811035156,870.0,542,328,729
16,0.17,0.6129017392934702,0.6261997348806403,0.6360424028268551,0.7407407407407407,520.3535766601562,328.6464538574219,178840.375,310.6170349121094,849.0,540,309,729
17,0.18000000000000002,0.6289556594122023,0.6198951898960107,0.6471306471306472,0.7270233196159122,515.1146850585938,303.8853759765625,178865.15625,315.8559265136719,819.0,530,289,729
18,0.19,0.6440687468557647,0.6138634707495714,0.6616161616161617,0.7187928669410151,510.1024475097656,281.8975524902344,178887.125,320.8680725097656,792.0,524,268,729
19,0.2,0.6550758036111336,0.6093761034781613,0.6701164294954722,0.710562414266118,506.37359619140625,266.62640380859375,178902.390625,324.5969543457031,773.0,518,255,729
20,0.21000000000000002,0.6645813794558083,0.6054222583108713,0.6763540290620872,0.7023319615912208,503.0881042480469,253.91192626953125,178915.125,327.88250732421875,757.0,512,245,729
21,0.22,0.673648721124284,0.6015223412564206,0.6859838274932615,0.6982167352537723,499.84735107421875,242.1526336669922,178926.890625,331.1231994628906,742.0,509,233,729
22,0.23,0.6854525364286177,0.5963895874740256,0.69432918395574,0.6886145404663924,495.5821838378906,227.4178009033203,178941.609375,335.38836669921875,723.0,502,221,729
23,0.24000000000000002,0.6969723965259309,0.5913152050787749,0.7063829787234043,0.6831275720164609,491.36553955078125,213.63446044921875,178955.375,339.60504150390625,705.0,498,207,729
24,0.25,0.7101714419622491,0.5854207704040553,0.7167883211678832,0.6735253772290809,486.4674377441406,198.53256225585938,178970.5,344.5031433105469,685.0,491,194,729
25,0.26,0.7210425133127802,0.580498840896899,0.7234678624813154,0.663923182441701,482.37744140625,186.62252807617188,178982.4375,348.5931091308594,669.0,484,185,729
26,0.27,0.7315006547747037,0.5757140585950186,0.7324159021406728,0.6570644718792867,478.40142822265625,175.5985565185547,178993.40625,352.5691223144531,654.0,479,175,729
27,0.28,0.7393075993420732,0.572071782240578,0.7387247278382582,0.6515775034293553,475.3747863769531,167.62518310546875,179001.40625,355.5957336425781,643.0,475,168,729
